Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
614.05,66.8,2.8,44.9
615.05,74.6,2.8,44.9
616.05,74.7,2.8,44.9
617.05,75.2,2.8,44.9
618.05,75.2,2.8,44.9
619.05,74.6,2.8,44.9
620.05,75.2,2.8,44.9
621.05,74.6,2.8,44.9
622.05,75.0,2.8,44.9
623.05,74.8,2.8,44.9
624.05,75.2,2.8,44.9
625.05,73.3,2.8,44.9
626.05,74.9,2.8,44.9
627.05,75.2,2.8,44.9
628.05,75.3,2.8,44.9
629.05,74.2,2.8,44.9
630.05,74.8,2.8,44.9
631.05,74.3,2.8,44.9
632.05,75.3,2.8,44.9
633.05,74.4,2.8,44.9
634.05,74.0,2.8,44.9
635.05,75.3,2.8,44.9
636.05,75.0,2.8,44.9
637.05,74.8,2.8,44.9
638.05,74.8,2.8,44.9
639.05,75.0,2.8,44.9
640.05,74.3,2.8,44.9
641.05,75.5,2.8,44.9
642.05,73.8,2.8,44.9
643.05,74.2,2.8,44.9
644.05,74.9,2.8,44.9
645.05,74.7,2.8,44.9
646.06,75.1,2.8,44.9
647.06,74.3,2.8,44.9
648.06,75.0,2.8,44.9
649.06,74.5,2.8,44.9
650.06,75.2,2.8,44.9
651.06,74.7,2.8,44.9
652.06,74.3,2.8,44.9
653.06,75.1,2.8,44.9
654.06,74.2,2.8,44.9
655.06,75.5,2.8,44.9
656.06,75.0,2.8,44.9
657.06,74.3,2.8,44.9
658.06,74.7,2.8,44.9
659.06,74.7,2.8,44.9
660.06,75.2,2.8,44.9
661.06,74.4,2.8,44.9
662.06,75.1,2.8,44.9
663.06,75.0,2.8,44.9
664.06,74.6,2.8,44.9
665.06,75.1,2.8,44.9
666.06,74.5,2.8,44.9
667.06,75.4,2.8,44.9
668.06,74.7,2.8,44.9
669.06,75.1,2.8,44.9
670.06,75.0,2.8,44.9
671.06,74.4,2.8,44.9
672.06,75.3,2.8,44.9
673.06,74.1,2.8,44.9
674.06,75.3,2.8,44.9
675.06,74.9,2.8,44.9
676.06,75.0,2.8,44.9
677.06,74.4,2.8,44.9
678.06,74.7,2.8,44.9
679.06,74.3,2.8,44.9
680.06,74.4,2.8,44.9
681.06,74.4,2.8,44.9
682.06,74.5,2.8,44.9
683.06,74.8,2.8,44.9
684.06,75.3,2.8,44.9
685.06,75.3,2.8,44.9
686.06,74.6,2.8,44.9
687.06,74.5,2.8,44.9
688.06,75.2,2.8,44.9
689.06,74.6,2.8,44.9
690.06,73.9,2.8,44.9
691.06,75.1,2.8,44.9
692.06,73.8,2.8,44.9
693.06,75.2,2.8,44.9
694.06,75.3,2.8,44.9
695.06,74.7,2.8,44.9
696.06,74.9,2.8,44.9
697.06,74.6,2.8,44.9
698.06,75.1,2.8,44.9
699.06,74.6,2.8,44.9
700.06,75.0,2.8,44.9
701.06,73.6,2.8,44.9
702.06,75.1,2.8,44.9
703.06,74.7,2.8,44.9
704.06,75.1,2.8,44.9
705.06,75.1,2.8,44.9
706.06,74.1,2.8,44.9
707.06,75.3,2.8,44.9
708.06,75.1,2.8,44.9
709.06,75.1,2.8,44.9
710.06,74.2,2.8,44.9
711.06,74.8,2.8,44.9
712.06,75.0,2.8,44.9
713.06,74.0,2.8,44.9
714.06,74.9,2.8,44.9
715.06,75.1,2.8,44.9
716.06,75.2,2.8,44.9
717.06,73.4,2.8,44.9
718.06,74.7,2.8,44.9
719.06,75.2,2.8,44.9
720.06,74.8,2.8,44.9
721.06,74.8,2.8,44.9
722.06,74.1,2.8,44.9
723.06,75.0,2.8,44.9
724.06,74.6,2.8,44.9
725.06,74.9,2.8,44.9
726.06,75.2,2.8,44.9
727.06,73.9,2.8,44.9
728.06,75.2,2.8,44.9
729.06,74.3,2.8,44.9
730.06,74.3,2.8,44.9
731.06,74.5,2.8,44.9
732.06,74.1,2.8,44.9
733.06,75.1,2.8,44.9
734.06,74.3,2.8,44.9
735.06,75.3,2.8,44.9
736.06,74.2,2.8,44.9
737.06,75.0,2.8,44.9
738.06,73.4,2.8,44.9
739.06,74.3,2.8,44.9
740.06,75.3,2.8,44.9
741.06,74.5,2.8,44.9
742.06,75.0,2.8,44.9
743.06,74.3,2.8,44.9
744.06,75.1,2.8,44.9
745.06,73.6,2.8,44.9
746.06,75.3,2.8,44.9
747.06,74.8,2.8,44.9
748.06,74.4,2.8,44.9
749.06,75.3,2.8,44.9
750.06,74.0,2.8,44.9
751.06,75.1,2.8,44.9
752.06,70.7,2.8,44.9
753.06,17.5,2.8,44.9
754.06,30.6,2.8,44.9
755.06,72.0,2.8,44.9
756.06,74.2,2.8,44.9
757.06,74.5,2.8,44.9
758.06,75.1,2.8,44.9
759.06,75.3,2.8,44.9
760.06,74.8,2.8,44.9
761.06,74.8,2.8,44.9
762.06,74.6,2.8,44.9
763.06,74.9,2.8,44.9
764.06,74.7,2.8,44.9
765.06,74.9,2.8,44.9
766.06,74.8,2.8,44.9
767.06,73.8,2.8,44.9
